timestamp,eyeLookUp_L,mouthStretch_R,mouthPress_L,tongueOut,jawForward,mouthSmile_L,cheekSquint_L,mouthFrown_R,mouthSmile_R,cheekPuff,mouthUpperUp_L,browDown_L,eyeLookOut_R,mouthUpperUp_R,mouthFunnel,eyeLookIn_R,mouthStretch_L,mouthShrugUpper,mouthLowerDown_L,eyeSquint_L,eyeLookUp_R,browInnerUp,eyeWide_R,noseSneer_L,eyeLookDown_R,browOuterUp_L,mouthLeft,mouthRollUpper,mouthRight,mouthDimple_R,mouthShrugLower,jawLeft,mouthDimple_L,cheekSquint_R,eyeBlink_L,browOuterUp_R,jawOpen,mouthPucker,eyeLookIn_L,mouthClose,mouthPress_R,jawRight,eyeBlink_R,browDown_R,noseSneer_R,eyeSquint_R,mouthRollLower,eyeWide_L,eyeLookDown_L,mouthLowerDown_R,mouthFrown_L,eyeLookOut_L
"2025-03-11T00:18:02.977Z",0,0.10790925,0.05443917,9.767058e-10,0.009358251,0,0.033355277,0.010097423,0,0.03394832,0.01767976,0.13866255,0,0.016691437,0.09551897,0.104342096,0.12286412,0.06847232,0.038813025,0.049019862,0,0.0444279,0,0.09982404,0.3320292,0,0.0072685056,0.013852017,0,0.021707967,0.111816,0,0.024240669,0.030530935,0.22414407,0,0.050820176,0.25820175,0.032752786,0.06259678,0.05565026,0.0057495832,0.22413151,0.13858628,0.084532,0.04901982,0.028037634,0,0.33268577,0.042652823,0.005232229,0
"2025-03-11T00:18:02.986Z",0,0.11055061,0.056015063,9.130695e-10,0.009743543,0,0.03377184,0.009718423,0,0.034125004,0.018463997,0.13976622,0,0.017397223,0.098178126,0.10610984,0.12580426,0.068458386,0.040522836,0.048214484,0,0.044807352,0,0.101610534,0.33247223,0,0.00735015,0.014499893,0,0.023034219,0.11260371,0,0.025668303,0.030966854,0.22320956,0,0.05268433,0.2545909,0.031009007,0.06464093,0.05729357,0.0051640165,0.22319603,0.13968453,0.08582151,0.04821443,0.02929638,0,0.33315876,0.044416018,0.0040672645,0
"2025-03-11T00:18:03.003Z",0,0.11031388,0.056634292,1.3005457e-9,0.009985383,0,0.033979647,0.009073216,0,0.03397103,0.019061944,0.13976924,0,0.017953346,0.086764544,0.10614476,0.12285404,0.06832465,0.04118746,0.047279198,0,0.045044813,0,0.102292284,0.33582118,0,0.0072771027,0.014919895,0,0.023770666,0.11279528,0,0.026425418,0.0311942,0.21742387,0,0.0532866,0.20122598,0.030986108,0.06522666,0.057908412,0.004730751,0.21741466,0.1396831,0.08632635,0.047279134,0.029975174,0,0.33651403,0.04509936,0.002269729,0
"2025-03-11T00:18:03.017Z",0,0.10884906,0.05681898,2.156312e-9,0.010150611,0,0.034029342,0.008512414,0,0.03371683,0.019595755,0.13183793,0,0.01848283,0.08300132,0.10797799,0.118689805,0.06813701,0.041421298,0.04522803,0,0.045429062,0,0.10250385,0.33572584,0,0.0069585713,0.015255858,0,0.024229607,0.112739235,0,0.026848601,0.031289328,0.2055293,0,0.053404838,0.1891282,0.029077332,0.06526589,0.058043476,0.0044276654,0.20552582,0.13174479,0.086573444,0.045227956,0.03040946,0,0.33644953,0.045378197,0.0011722469,0
"2025-03-11T00:18:03.038Z",0,0.1082046,0.057080846,2.6887357e-9,0.010351558,0,0.034208365,0.008186508,0,0.033577036,0.020225853,0.12897131,0,0.019130472,0.081701376,0.10724976,0.1171156,0.0682418,0.04169049,0.043986835,0,0.045971006,0,0.10273235,0.334762,0,0.0065456214,0.015624675,0,0.02461041,0.11309694,0,0.02716244,0.03153672,0.1998157,0,0.05363852,0.23554346,0.029773874,0.06545833,0.058250673,0.0041363062,0.19981392,0.12887728,0.086942814,0.043986734,0.030888267,0,0.33547184,0.045722254,0.0005707387,0
"2025-03-11T00:18:03.051Z",0,0.10762203,0.05696607,3.4930263e-9,0.010524293,0.0011022585,0.034382705,0.007373522,0,0.033238515,0.020789938,0.12771027,0,0.019713532,0.08093664,0.10707204,0.11602068,0.06801538,0.04189205,0.04313116,0,0.04634851,0,0.10262035,0.33396724,0,0.006083798,0.015969692,0,0.02495744,0.11288832,0,0.027448228,0.0317773,0.1952954,0,0.053781126,0.21348323,0.02997381,0.06558953,0.05807117,0.003955414,0.19529285,0.1276155,0.087020874,0.043131046,0.031227645,0,0.3346727,0.046011228,0,0
"2025-03-11T00:18:03.064Z",0,0.10681154,0.056702532,3.1914196e-9,0.0106512755,0.0015361127,0.034534715,0.0073154066,0,0.03286949,0.021165732,0.13069336,0,0.020123152,0.07983604,0.10649415,0.11426599,0.06786612,0.041740816,0.042718444,0,0.04649853,0,0.10228756,0.33456448,0,0.0055836956,0.016170336,0,0.025049124,0.112730615,0,0.027455077,0.03199439,0.1929618,0,0.05366225,0.20996825,0.03053426,0.06540516,0.057727486,0.003933488,0.19295949,0.13061519,0.086938396,0.042718325,0.03141619,0,0.33526137,0.04590363,0,0
"2025-03-11T00:18:03.083Z",0,0.10334062,0.05658267,4.303927e-9,0.010696046,0.001590597,0.03460417,0.007630348,0,0.032643802,0.021409612,0.13673134,0,0.02039186,0.07789146,0.105355024,0.10927516,0.06788054,0.04131914,0.042267118,0,0.046517555,0,0.10224164,0.3361834,0,0.0052507925,0.016293813,0,0.024986936,0.112816244,0,0.027306644,0.0321165,0.1918924,0,0.05332307,0.20851292,0.03162311,0.06491478,0.05750081,0.004089135,0.19189002,0.1366759,0.08709717,0.042267002,0.03152664,0,0.3368642,0.045492947,0,0
"2025-03-11T00:18:03.097Z",0,0.10193713,0.056645833,1.14193055e-8,0.010712919,0.001801013,0.03464207,0.008025616,0,0.032451052,0.02174885,0.13497251,0,0.02072963,0.0773474,0.09684972,0.107448824,0.06801138,0.0409054,0.041162804,0,0.04675974,0,0.102601185,0.36335486,0,0.0052276957,0.01638247,0,0.024952907,0.1131859,0,0.027207544,0.03219553,0.23658934,0,0.05302169,0.21077001,0.04020952,0.06448963,0.057469122,0.0042681713,0.23658615,0.13493524,0.08759786,0.04116271,0.03167437,0,0.36392757,0.04506239,0,0
"2025-03-11T00:18:03.115Z",0,0.10070845,0.056939296,1.1148423e-8,0.0106747355,0.0018885946,0.034677874,0.008521002,0,0.032298423,0.022292312,0.1232677,0,0.021236349,0.0775618,0.08980773,0.106386304,0.06853044,0.040537737,0.039890103,0,0.04747113,0,0.10395309,0.42634234,0,0.005915929,0.016418578,0,0.024962725,0.117053755,0,0.02718923,0.03225363,0.29945952,0,0.052698568,0.22022383,0.04767609,0.064098395,0.057729825,0.004208284,0.29946163,0.1232356,0.08993333,0.039890066,0.031903293,0,0.42684346,0.04460035,0,0
